Category: All categories

Week,norovirus: (Detroit MI)
2021-01-03,11
2021-01-10,9
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,12
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,11
2021-03-14,0
2021-03-21,12
2021-03-28,13
2021-04-04,0
2021-04-11,19
2021-04-18,15
2021-04-25,13
2021-05-02,18
2021-05-09,0
2021-05-16,38
2021-05-23,26
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,30
2021-07-04,0
2021-07-11,0
2021-07-18,13
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,21
2021-08-29,14
2021-09-05,30
2021-09-12,0
2021-09-19,10
2021-09-26,8
2021-10-03,22
2021-10-10,9
2021-10-17,17
2021-10-24,0
2021-10-31,0
2021-11-07,8
2021-11-14,0
2021-11-21,24
2021-11-28,12
2021-12-05,11
2021-12-12,0
2021-12-19,15
2021-12-26,24
2022-01-02,28
2022-01-09,12
2022-01-16,0
2022-01-23,10
2022-01-30,21
2022-02-06,45
2022-02-13,45
2022-02-20,18
2022-02-27,53
2022-03-06,52
2022-03-13,72
2022-03-20,75
2022-03-27,68
2022-04-03,76
2022-04-10,100
2022-04-17,60
2022-04-24,59
2022-05-01,29
2022-05-08,53
2022-05-15,0
2022-05-22,37
2022-05-29,13
2022-06-05,14
2022-06-12,0
2022-06-19,0
2022-06-26,7
2022-07-03,0
2022-07-10,0
2022-07-17,10
2022-07-24,13
2022-07-31,10
2022-08-07,9
2022-08-14,8
2022-08-21,8
2022-08-28,8
2022-09-04,24
2022-09-11,9
2022-09-18,13
2022-09-25,8
2022-10-02,17
2022-10-09,0
2022-10-16,7
2022-10-23,19
2022-10-30,31
