Category: All categories

Week,norovirus: (Michigan)
2021-01-03,4
2021-01-10,24
2021-01-17,0
2021-01-24,0
2021-01-31,8
2021-02-07,10
2021-02-14,0
2021-02-21,9
2021-02-28,0
2021-03-07,18
2021-03-14,8
2021-03-21,20
2021-03-28,24
2021-04-04,28
2021-04-11,16
2021-04-18,13
2021-04-25,18
2021-05-02,23
2021-05-09,38
2021-05-16,29
2021-05-23,0
2021-05-30,0
2021-06-06,16
2021-06-13,22
2021-06-20,13
2021-06-27,16
2021-07-04,7
2021-07-11,10
2021-07-18,0
2021-07-25,6
2021-08-01,11
2021-08-08,9
2021-08-15,14
2021-08-22,17
2021-08-29,0
2021-09-05,21
2021-09-12,12
2021-09-19,0
2021-09-26,7
2021-10-03,13
2021-10-10,14
2021-10-17,13
2021-10-24,10
2021-10-31,0
2021-11-07,8
2021-11-14,0
2021-11-21,7
2021-11-28,26
2021-12-05,22
2021-12-12,16
2021-12-19,33
2021-12-26,14
2022-01-02,34
2022-01-09,17
2022-01-16,22
2022-01-23,12
2022-01-30,32
2022-02-06,39
2022-02-13,58
2022-02-20,25
2022-02-27,54
2022-03-06,56
2022-03-13,91
2022-03-20,96
2022-03-27,66
2022-04-03,95
2022-04-10,100
2022-04-17,58
2022-04-24,55
2022-05-01,38
2022-05-08,48
2022-05-15,30
2022-05-22,41
2022-05-29,18
2022-06-05,24
2022-06-12,30
2022-06-19,19
2022-06-26,27
2022-07-03,0
2022-07-10,16
2022-07-17,13
2022-07-24,27
2022-07-31,7
2022-08-07,0
2022-08-14,0
2022-08-21,7
2022-08-28,6
2022-09-04,16
2022-09-11,14
2022-09-18,13
2022-09-25,18
2022-10-02,24
2022-10-09,15
2022-10-16,27
2022-10-23,16
2022-10-30,12
