Category: All categories

Week,stomach flu: (Detroit MI)
2021-01-03,15
2021-01-10,14
2021-01-17,21
2021-01-24,18
2021-01-31,11
2021-02-07,27
2021-02-14,0
2021-02-21,15
2021-02-28,11
2021-03-07,0
2021-03-14,21
2021-03-21,0
2021-03-28,28
2021-04-04,21
2021-04-11,20
2021-04-18,37
2021-04-25,21
2021-05-02,35
2021-05-09,23
2021-05-16,9
2021-05-23,31
2021-05-30,14
2021-06-06,10
2021-06-13,19
2021-06-20,0
2021-06-27,13
2021-07-04,31
2021-07-11,21
2021-07-18,34
2021-07-25,15
2021-08-01,12
2021-08-08,21
2021-08-15,0
2021-08-22,0
2021-08-29,22
2021-09-05,0
2021-09-12,22
2021-09-19,16
2021-09-26,19
2021-10-03,0
2021-10-10,24
2021-10-17,13
2021-10-24,0
2021-10-31,35
2021-11-07,42
2021-11-14,31
2021-11-21,17
2021-11-28,24
2021-12-05,0
2021-12-12,37
2021-12-19,89
2021-12-26,61
2022-01-02,48
2022-01-09,66
2022-01-16,34
2022-01-23,38
2022-01-30,51
2022-02-06,45
2022-02-13,56
2022-02-20,69
2022-02-27,49
2022-03-06,98
2022-03-13,100
2022-03-20,86
2022-03-27,85
2022-04-03,68
2022-04-10,65
2022-04-17,70
2022-04-24,51
2022-05-01,54
2022-05-08,29
2022-05-15,52
2022-05-22,21
2022-05-29,27
2022-06-05,32
2022-06-12,22
2022-06-19,35
2022-06-26,30
2022-07-03,20
2022-07-10,32
2022-07-17,0
2022-07-24,15
2022-07-31,21
2022-08-07,36
2022-08-14,18
2022-08-21,23
2022-08-28,26
2022-09-04,18
2022-09-11,17
2022-09-18,43
2022-09-25,16
2022-10-02,23
2022-10-09,26
2022-10-16,27
2022-10-23,46
2022-10-30,45
