Category: All categories

Week,stomach flu: (Michigan)
2021-01-03,0
2021-01-10,18
2021-01-17,18
2021-01-24,8
2021-01-31,15
2021-02-07,18
2021-02-14,12
2021-02-21,11
2021-02-28,9
2021-03-07,16
2021-03-14,18
2021-03-21,0
2021-03-28,39
2021-04-04,10
2021-04-11,20
2021-04-18,39
2021-04-25,22
2021-05-02,25
2021-05-09,16
2021-05-16,21
2021-05-23,46
2021-05-30,27
2021-06-06,0
2021-06-13,13
2021-06-20,11
2021-06-27,17
2021-07-04,20
2021-07-11,20
2021-07-18,28
2021-07-25,0
2021-08-01,20
2021-08-08,16
2021-08-15,9
2021-08-22,14
2021-08-29,55
2021-09-05,16
2021-09-12,0
2021-09-19,11
2021-09-26,16
2021-10-03,14
2021-10-10,19
2021-10-17,17
2021-10-24,0
2021-10-31,25
2021-11-07,36
2021-11-14,29
2021-11-21,42
2021-11-28,32
2021-12-05,35
2021-12-12,23
2021-12-19,76
2021-12-26,51
2022-01-02,70
2022-01-09,58
2022-01-16,37
2022-01-23,56
2022-01-30,37
2022-02-06,63
2022-02-13,58
2022-02-20,59
2022-02-27,95
2022-03-06,100
2022-03-13,95
2022-03-20,80
2022-03-27,71
2022-04-03,82
2022-04-10,65
2022-04-17,71
2022-04-24,56
2022-05-01,57
2022-05-08,28
2022-05-15,40
2022-05-22,26
2022-05-29,28
2022-06-05,30
2022-06-12,11
2022-06-19,18
2022-06-26,32
2022-07-03,15
2022-07-10,22
2022-07-17,18
2022-07-24,7
2022-07-31,6
2022-08-07,14
2022-08-14,16
2022-08-21,16
2022-08-28,25
2022-09-04,23
2022-09-11,7
2022-09-18,32
2022-09-25,30
2022-10-02,28
2022-10-09,24
2022-10-16,23
2022-10-23,27
2022-10-30,51
