Category: All categories

Week,gastroenteritis: (Detroit MI)
2021-01-03,14
2021-01-10,32
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,28
2021-02-14,0
2021-02-21,17
2021-02-28,0
2021-03-07,0
2021-03-14,100
2021-03-21,0
2021-03-28,25
2021-04-04,0
2021-04-11,0
2021-04-18,43
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,24
2021-05-23,0
2021-05-30,20
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,16
2021-07-18,26
2021-07-25,0
2021-08-01,0
2021-08-08,30
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,16
2021-09-19,17
2021-09-26,0
2021-10-03,19
2021-10-10,0
2021-10-17,31
2021-10-24,0
2021-10-31,0
2021-11-07,28
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,39
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,24
2022-01-09,31
2022-01-16,50
2022-01-23,0
2022-01-30,0
2022-02-06,29
2022-02-13,36
2022-02-20,21
2022-02-27,28
2022-03-06,0
2022-03-13,24
2022-03-20,55
2022-03-27,33
2022-04-03,39
2022-04-10,0
2022-04-17,60
2022-04-24,27
2022-05-01,28
2022-05-08,0
2022-05-15,0
2022-05-22,38
2022-05-29,25
2022-06-05,29
2022-06-12,13
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,15
2022-07-17,44
2022-07-24,26
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,27
2022-08-28,0
2022-09-04,12
2022-09-11,0
2022-09-18,0
2022-09-25,24
2022-10-02,41
2022-10-09,25
2022-10-16,0
2022-10-23,0
2022-10-30,24
2022-11-06,87
2022-11-13,31
2022-11-20,36
