Category: All categories

Week,gastroenteritis: (Michigan)
2021-01-03,53
2021-01-10,31
2021-01-17,0
2021-01-24,0
2021-01-31,46
2021-02-07,0
2021-02-14,18
2021-02-21,35
2021-02-28,41
2021-03-07,28
2021-03-14,55
2021-03-21,26
2021-03-28,32
2021-04-04,51
2021-04-11,26
2021-04-18,64
2021-04-25,19
2021-05-02,0
2021-05-09,43
2021-05-16,39
2021-05-23,45
2021-05-30,0
2021-06-06,23
2021-06-13,0
2021-06-20,28
2021-06-27,26
2021-07-04,20
2021-07-11,34
2021-07-18,0
2021-07-25,0
2021-08-01,31
2021-08-08,25
2021-08-15,0
2021-08-22,25
2021-08-29,64
2021-09-05,31
2021-09-12,42
2021-09-19,45
2021-09-26,58
2021-10-03,32
2021-10-10,28
2021-10-17,41
2021-10-24,23
2021-10-31,49
2021-11-07,70
2021-11-14,43
2021-11-21,25
2021-11-28,49
2021-12-05,24
2021-12-12,48
2021-12-19,0
2021-12-26,45
2022-01-02,0
2022-01-09,0
2022-01-16,69
2022-01-23,39
2022-01-30,47
2022-02-06,31
2022-02-13,76
2022-02-20,47
2022-02-27,57
2022-03-06,37
2022-03-13,64
2022-03-20,70
2022-03-27,51
2022-04-03,81
2022-04-10,0
2022-04-17,100
2022-04-24,42
2022-05-01,50
2022-05-08,22
2022-05-15,45
2022-05-22,37
2022-05-29,32
2022-06-05,65
2022-06-12,0
2022-06-19,40
2022-06-26,18
2022-07-03,37
2022-07-10,54
2022-07-17,22
2022-07-24,37
2022-07-31,64
2022-08-07,33
2022-08-14,34
2022-08-21,0
2022-08-28,0
2022-09-04,33
2022-09-11,62
2022-09-18,37
2022-09-25,44
2022-10-02,55
2022-10-09,27
2022-10-16,25
2022-10-23,46
2022-10-30,26
2022-11-06,0
2022-11-13,22
2022-11-20,19
