Category: All categories

Week,norovirus: (Michigan)
2021-01-03,11
2021-01-10,12
2021-01-17,0
2021-01-24,0
2021-01-31,12
2021-02-07,0
2021-02-14,0
2021-02-21,16
2021-02-28,9
2021-03-07,9
2021-03-14,7
2021-03-21,18
2021-03-28,20
2021-04-04,17
2021-04-11,19
2021-04-18,23
2021-04-25,10
2021-05-02,15
2021-05-09,22
2021-05-16,24
2021-05-23,28
2021-05-30,0
2021-06-06,11
2021-06-13,18
2021-06-20,9
2021-06-27,13
2021-07-04,0
2021-07-11,8
2021-07-18,16
2021-07-25,5
2021-08-01,10
2021-08-08,10
2021-08-15,15
2021-08-22,19
2021-08-29,0
2021-09-05,0
2021-09-12,10
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,10
2021-10-31,12
2021-11-07,22
2021-11-14,0
2021-11-21,15
2021-11-28,12
2021-12-05,16
2021-12-12,16
2021-12-19,32
2021-12-26,17
2022-01-02,28
2022-01-09,11
2022-01-16,16
2022-01-23,9
2022-01-30,34
2022-02-06,38
2022-02-13,46
2022-02-20,20
2022-02-27,43
2022-03-06,54
2022-03-13,100
2022-03-20,79
2022-03-27,53
2022-04-03,83
2022-04-10,74
2022-04-17,59
2022-04-24,50
2022-05-01,35
2022-05-08,55
2022-05-15,13
2022-05-22,37
2022-05-29,9
2022-06-05,12
2022-06-12,24
2022-06-19,13
2022-06-26,13
2022-07-03,7
2022-07-10,18
2022-07-17,13
2022-07-24,11
2022-07-31,6
2022-08-07,19
2022-08-14,0
2022-08-21,0
2022-08-28,10
2022-09-04,8
2022-09-11,12
2022-09-18,0
2022-09-25,15
2022-10-02,18
2022-10-09,21
2022-10-16,24
2022-10-23,19
2022-10-30,13
2022-11-06,16
2022-11-13,26
2022-11-20,9
