Category: All categories

Week,stomach flu: (Detroit MI)
2021-01-03,0
2021-01-10,0
2021-01-17,35
2021-01-24,0
2021-01-31,0
2021-02-07,14
2021-02-14,0
2021-02-21,9
2021-02-28,9
2021-03-07,0
2021-03-14,17
2021-03-21,12
2021-03-28,27
2021-04-04,21
2021-04-11,18
2021-04-18,79
2021-04-25,23
2021-05-02,21
2021-05-09,13
2021-05-16,15
2021-05-23,28
2021-05-30,0
2021-06-06,16
2021-06-13,18
2021-06-20,22
2021-06-27,25
2021-07-04,19
2021-07-11,47
2021-07-18,22
2021-07-25,0
2021-08-01,22
2021-08-08,20
2021-08-15,17
2021-08-22,0
2021-08-29,34
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,34
2021-10-10,9
2021-10-17,0
2021-10-24,0
2021-10-31,43
2021-11-07,37
2021-11-14,29
2021-11-21,16
2021-11-28,0
2021-12-05,21
2021-12-12,27
2021-12-19,70
2021-12-26,46
2022-01-02,52
2022-01-09,45
2022-01-16,32
2022-01-23,46
2022-01-30,49
2022-02-06,35
2022-02-13,58
2022-02-20,48
2022-02-27,73
2022-03-06,100
2022-03-13,91
2022-03-20,75
2022-03-27,97
2022-04-03,58
2022-04-10,52
2022-04-17,71
2022-04-24,57
2022-05-01,37
2022-05-08,22
2022-05-15,53
2022-05-22,47
2022-05-29,11
2022-06-05,79
2022-06-12,35
2022-06-19,37
2022-06-26,30
2022-07-03,58
2022-07-10,25
2022-07-17,0
2022-07-24,16
2022-07-31,17
2022-08-07,30
2022-08-14,25
2022-08-21,20
2022-08-28,0
2022-09-04,19
2022-09-11,20
2022-09-18,23
2022-09-25,32
2022-10-02,11
2022-10-09,0
2022-10-16,17
2022-10-23,23
2022-10-30,13
2022-11-06,25
2022-11-13,41
2022-11-20,65
