Category: All categories

Week,stomach flu: (Michigan)
2021-01-03,12
2021-01-10,23
2021-01-17,17
2021-01-24,6
2021-01-31,7
2021-02-07,17
2021-02-14,9
2021-02-21,0
2021-02-28,8
2021-03-07,27
2021-03-14,26
2021-03-21,23
2021-03-28,43
2021-04-04,19
2021-04-11,30
2021-04-18,29
2021-04-25,14
2021-05-02,28
2021-05-09,18
2021-05-16,28
2021-05-23,24
2021-05-30,36
2021-06-06,36
2021-06-13,8
2021-06-20,19
2021-06-27,22
2021-07-04,15
2021-07-11,19
2021-07-18,19
2021-07-25,21
2021-08-01,19
2021-08-08,27
2021-08-15,20
2021-08-22,10
2021-08-29,32
2021-09-05,18
2021-09-12,30
2021-09-19,8
2021-09-26,19
2021-10-03,0
2021-10-10,17
2021-10-17,16
2021-10-24,11
2021-10-31,35
2021-11-07,42
2021-11-14,30
2021-11-21,35
2021-11-28,30
2021-12-05,32
2021-12-12,45
2021-12-19,62
2021-12-26,48
2022-01-02,72
2022-01-09,67
2022-01-16,45
2022-01-23,52
2022-01-30,36
2022-02-06,78
2022-02-13,67
2022-02-20,59
2022-02-27,94
2022-03-06,96
2022-03-13,100
2022-03-20,100
2022-03-27,75
2022-04-03,84
2022-04-10,62
2022-04-17,73
2022-04-24,56
2022-05-01,61
2022-05-08,27
2022-05-15,42
2022-05-22,34
2022-05-29,44
2022-06-05,22
2022-06-12,16
2022-06-19,0
2022-06-26,37
2022-07-03,13
2022-07-10,14
2022-07-17,17
2022-07-24,31
2022-07-31,22
2022-08-07,25
2022-08-14,20
2022-08-21,24
2022-08-28,19
2022-09-04,31
2022-09-11,13
2022-09-18,26
2022-09-25,17
2022-10-02,19
2022-10-09,29
2022-10-16,28
2022-10-23,25
2022-10-30,25
2022-11-06,42
2022-11-13,43
2022-11-20,36
