"Sample","NorovirusAvgConc","NorovirusDilution","PMMoVAvgConc","Date","City","SampleType","NVnormalizedPMMoV","datafile","sevendayavg_nvpmmov","fourteendayavg_nvpmmov","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism"
"26AA210907I","4.79",1,"25.91",2021-09-07,"AA","INFLUENT",0.00184870706291007,"11.17.22_L_1XNV_JGMA.xlsx",,,,,,,"None","None",,"Norovirus"
"26AA210913I","7.71",1,"37.94",2021-09-13,"AA","INFLUENT",0.00203215603584607,"11.17.22_L_1XNV_JGMA.xlsx",,,,,,,"None","None",,"Norovirus"
"26AA210921I","9.81",1,"33.41",2021-09-21,"AA","INFLUENT",0.00293624663274469,"11.17.22_L_1XNV_JGMA.xlsx",,,,,,,"None","None",,"Norovirus"
"26AA210928I","2.98",1,"38.47",2021-09-28,"AA","INFLUENT",0.000774629581492072,"11.17.22_L_1XNV_JGMA.xlsx",,,,,,,"None","None",,"Norovirus"
"26AA211006I","4.22",1,"40.41",2021-10-06,"AA","INFLUENT",0.00104429596634496,"11.17.22_L_1XNV_JGMA.xlsx",,,,,,,"None","None",,"Norovirus"
"26AA211012I","1.58",1,"43.77",2021-10-12,"AA","INFLUENT",0.000360977838702308,"11.17.22_L_1XNV_JGMA.xlsx",,,,,,,"None","None",,"Norovirus"
"26AA211019I","2.61",1,"29.05",2021-10-19,"AA","INFLUENT",0.000898450946643718,"11.17.22_L_1XNV_JGMA.xlsx",0.00141363772352627,,,,,,"None","None",,"Norovirus"
"26AA211026I","2.85",1,"22.75",2021-10-26,"AA","INFLUENT",0.00125274725274725,"11.17.22_L_1XNV_JGMA.xlsx",0.00132850060778872,,,,,,"None","None",,"Norovirus"
"26AA211102I","1.96",1,"28.71",2021-11-02,"AA","INFLUENT",0.000682688958551027,"11.17.22_L_1XNV_JGMA.xlsx",0.00113571959674658,,,,,,"None","None",,"Norovirus"
"26AA211123I","1.29",1,"34.12",2021-11-23,"AA","INFLUENT",0.000378077373974209,"11.17.22_L_1XNV_JGMA.xlsx",0.00077026684549365,,,,,,"None","None",,"Norovirus"
"26AA211128I","0.12",100,"28.78",2021-11-28,"AA","INFLUENT",0.00416956219596942,"11.17.22_L_1100XNV_JGMA.xlsx",0.00125525721899041,,,,,,"None","None",,"Norovirus"
"26AA211209I","0.06",100,"31.85",2021-12-09,"AA","INFLUENT",0.00188383045525903,"11.17.22_L_1100XNV_JGMA.xlsx",0.00137519071740671,,,,,,"None","None",,"Norovirus"
"26AA211221I","0.33",100,"82.31",2021-12-21,"AA","INFLUENT",0.00400923338597983,"11.17.22_L_1100XNV_JGMA.xlsx",0.0018963700813035,,,,,,"None","None",,"Norovirus"
